ticket_id,site_id,reported_at,complaint_type,complaint_severity,actual_fault,resolution,visit_cost_inr,technician_id,resolved_at,remote_resolution,repeat_complaint,sla_due_at
TKT-1001,MH-124,2026-04-16T15:45:00+05:30,CLEANING,CRITICAL,Visible dust accumulation,Module cleaning completed,1090,TECH-01,2026-04-17T11:45:00+05:30,false,false,2026-04-16T23:45:00+05:30
TKT-1002,MH-126,2026-02-23T15:00:00+05:30,LOW_GENERATION,MEDIUM,Vegetation-related shading,Obstruction removed and output rechecked,870,TECH-01,2026-02-26T05:00:00+05:30,false,true,2026-02-25T15:00:00+05:30
TKT-1003,MH-129,2026-05-23T15:15:00+05:30,LOW_GENERATION,MEDIUM,Vegetation-related shading,Obstruction removed and output rechecked,810,TECH-02,2026-05-24T22:15:00+05:30,false,false,2026-05-25T15:15:00+05:30
TKT-1004,MH-104,2026-02-23T15:15:00+05:30,LOW_GENERATION,HIGH,Vegetation-related shading,Obstruction removed and output rechecked,1160,TECH-02,2026-02-25T21:15:00+05:30,false,false,2026-02-24T15:15:00+05:30
TKT-1005,MH-119,2026-01-24T09:00:00+05:30,OFFLINE,HIGH,Data logger lost Wi-Fi connectivity,Logger reconnected to customer router,0,,2026-01-24T12:00:00+05:30,true,false,2026-01-25T09:00:00+05:30
TKT-1006,MH-109,2026-04-02T16:15:00+05:30,NO_DISPLAY,LOW,Display sleep mode,Customer guided through wake-up procedure,0,,2026-04-02T18:15:00+05:30,true,false,2026-04-05T16:15:00+05:30
TKT-1007,MH-108,2026-01-16T12:45:00+05:30,CLEANING,CRITICAL,Cleaning request not yet economical,Visit deferred and monitoring continued,720,TECH-02,2026-01-17T23:45:00+05:30,false,false,2026-01-16T20:45:00+05:30
TKT-1008,MH-123,2026-01-29T16:15:00+05:30,CLEANING,MEDIUM,Visible dust accumulation,Module cleaning completed,760,TECH-02,2026-02-01T07:15:00+05:30,false,false,2026-01-31T16:15:00+05:30
TKT-1009,MH-108,2026-05-29T17:00:00+05:30,OFFLINE,HIGH,Data logger lost Wi-Fi connectivity,Logger reconnected to customer router,720,TECH-01,2026-06-01T01:00:00+05:30,false,false,2026-05-30T17:00:00+05:30
TKT-1010,MH-121,2026-02-01T09:45:00+05:30,OFFLINE,MEDIUM,Data logger lost Wi-Fi connectivity,Logger reconnected to customer router,0,,2026-02-01T11:45:00+05:30,true,false,2026-02-03T09:45:00+05:30
TKT-1011,MH-121,2026-05-07T11:00:00+05:30,OFFLINE,HIGH,Grid outage at site,Supply restored; inverter resumed automatically,0,,2026-05-07T21:00:00+05:30,true,false,2026-05-08T11:00:00+05:30
TKT-1012,MH-116,2026-03-12T11:00:00+05:30,LOW_GENERATION,CRITICAL,Probable soiling on module surface,Modules cleaned and generation verified,900,TECH-01,2026-03-15T03:00:00+05:30,false,false,2026-03-12T19:00:00+05:30
TKT-1013,MH-107,2026-03-31T15:15:00+05:30,LOW_GENERATION,MEDIUM,No fault found; weather-related reduction,Customer informed and ticket closed,890,TECH-01,2026-04-03T11:15:00+05:30,false,false,2026-04-02T15:15:00+05:30
TKT-1014,MH-109,2026-02-09T10:00:00+05:30,OFFLINE,MEDIUM,Data logger lost Wi-Fi connectivity,Logger reconnected to customer router,0,,2026-02-09T16:00:00+05:30,true,false,2026-02-11T10:00:00+05:30
TKT-1015,MH-101,2026-05-03T11:45:00+05:30,OFFLINE,MEDIUM,Grid outage at site,Supply restored; inverter resumed automatically,0,,2026-05-03T19:45:00+05:30,true,false,2026-05-05T11:45:00+05:30
